campaign fb,filename,persoanl fb,id
[],Richard_Pannell.csv,https://www.facebook.com/patty.pannell.7,patty.pannell.7
['https://www.facebook.com/moranforcongress'],Nathaniel_Moran.csv,https://www.facebook.com/nqmoran,nqmoran
['https://www.facebook.com/spencerforsenate'],Spencer_Toder.csv,https://www.facebook.com/spencer.toder,spencer.toder
[],Brandaun_Dean.csv,https://www.facebook.com/brandaun.dean.5,brandaun.dean.5
[],Cindy_Werner.csv,https://www.facebook.com/cindy.werner.9803,cindy.werner.9803
['https://www.facebook.com/billengelbrechtforcongress/'],Charles_Engelbrecht.csv,https://www.facebook.com/bill.engelbrecht,bill.engelbrecht
['https://www.facebook.com/AaronArguijoTexas'],Aaron_Arguijo.csv,https://www.facebook.com/Arguijo.Aaron,Arguijo.Aaron
['https://www.facebook.com/JessicaJeanGarrisonforUSSenate/'],Jessica_Garrison.csv,https://www.facebook.com/jessica.garrison.963871,jessica.garrison.963871
['https://www.facebook.com/JulianAcciard4NH'],Julian_Acciard.csv,https://www.facebook.com/julian.acciard,julian.acciard
['https://www.facebook.com/dustinhill4congress'],Dustin_Hill.csv,https://www.facebook.com/profile.php?id=100080776644903,100080776644903
['https://www.facebook.com/VoteJustinOlson'],Justin_Olson.csv,https://www.facebook.com/justin.olson.779,justin.olson.779
['https://www.facebook.com/VoteGaryHeyer/'],Gary_Heyer.csv,https://www.facebook.com/garyeheyer,garyeheyer
[],Yvette_Clarke.csv,https://www.facebook.com/profile.php?id=100010999729356,100010999729356
['https://www.facebook.com/peggysenate'],Peggy_Kandies.csv,https://www.facebook.com/peggy.kandies,peggy.kandies
['https://www.facebook.com/markharmonforcongress/'],Mark_Harmon.csv,https://www.facebook.com/markdharmon,markdharmon
['https://www.facebook.com/TiffanySheddAZ/'],Tiffany_Shedd.csv,https://www.facebook.com/tiffany.shedd.7,tiffany.shedd.7
['https://www.facebook.com/Geno4Congress'],Geno_Young.csv,https://www.facebook.com/geno.young.18,geno.young.18
['https://www.facebook.com/RaynaReidforCongress'],Rayna_Reid.csv,https://www.facebook.com/rayna.delaviev,rayna.delaviev
[],Tristan_Rader.csv,https://www.facebook.com/twrader,twrader
['https://www.facebook.com/Dorothy4Congress/'],Dorothy_Gasque.csv,https://www.facebook.com/Dorothy4Congress,Dorothy4Congress
['https://www.facebook.com/PaidforbyRamonforcongress/'],Ramon_Rodriguez.csv,https://www.facebook.com/rrprotocolo,rrprotocolo
['https://www.facebook.com/profile.php?id=100077116521426'],Cait_Corrigan.csv,https://www.facebook.com/iamcaitcorrigan,iamcaitcorrigan
['https://www.facebook.com/sanfordbishopforcongress'],Sanford_Bishop.csv,https://www.facebook.com/BishopforCongress,BishopforCongress
[],Joel_Funk.csv,https://www.facebook.com/joel.d.funk,joel.d.funk
['https://www.facebook.com/johngaramendi'],John_Garamendi.csv,https://www.facebook.com/garamendi,garamendi
['https://www.facebook.com/michaelforpa'],Michael_Cogbill.csv,https://www.facebook.com/profile.php?id=100008571971151,100008571971151
['https://www.facebook.com/TomWellsForCongress/'],Tom_Wells.csv,https://www.facebook.com/tom.wells.3576,tom.wells.3576
['https://www.facebook.com/berylforUSSenate/'],Beryl_Billiot.csv,https://www.facebook.com/beryl.billiot,beryl.billiot
['https://www.facebook.com/zoelofgrenforcongress'],Zoe_Lofgren.csv,https://www.facebook.com/zoe.lofgren.1,zoe.lofgren.1
[],Matthew_Knights.csv,https://www.facebook.com/MatthewBKnights,MatthewBKnights
['https://www.facebook.com/tanyaforarizona'],Tanya_Wheeless.csv,https://www.facebook.com/tanya.c.wheeless,tanya.c.wheeless
['https://www.facebook.com/LozanoForGovernor'],David_Lozano.csv,https://www.facebook.com/profile.php?id=100012603168417,100012603168417
[],Ljubo_Skrbic.csv,https://www.facebook.com/skrbic.ljubo.5,skrbic.ljubo.5
['https://www.facebook.com/lauraforkansas'],Laura_Lombard.csv,https://www.facebook.com/lklvalentine21,lklvalentine21
[],Dick_Zimmer.csv,https://www.facebook.com/dick.zimmer,dick.zimmer
['https://www.facebook.com/MenefeeFor9thDistrict/'],Jon_Menefee.csv,https://www.facebook.com/jon.menefee.1,jon.menefee.1
"['https://www.facebook.com/AmbDanBaer/', 'https://www.facebook.com/DanForColorado/']",Dan_Baer.csv,https://www.facebook.com/danbaer,danbaer
[],Adam_Wool.csv,https://www.facebook.com/adam.wool.9,adam.wool.9
['https://www.facebook.com/Shay-Stautz-421283405262394/'],Shay_Stautz.csv,https://www.facebook.com/shay.stautz,shay.stautz
[],Roy_Eriksen.csv,https://www.facebook.com/roy.eriksen.16,roy.eriksen.16
['https://www.facebook.com/WalshNJ9/?ref=br_rs'],Timothy_Walsh.csv,https://www.facebook.com/timothy.walsh.121,timothy.walsh.121
[],Articia_Bomer.csv,https://www.facebook.com/articia.bomer.3,articia.bomer.3
['https://www.facebook.com/ConerlyforCongress'],Chad_Conerly.csv,https://www.facebook.com/chad.conerly,chad.conerly
